Compound,Date,Negative,Neutral,Positive,Tweet,User
-0.2263,Fri Aug 24 18:04:53 +0000 2018,0.101,0.899,0.0,RT @CNNPolitics: BREAKING: President Donald Trump cancels Secretary of State Mike Pompeo's latest trip to North Korea https://t.co/WJTlAGSn…,@CNNbrk
0.0,Fri Aug 24 17:12:36 +0000 2018,0.0,1.0,0.0,"Zimbabwe's constitutional court upholds President Mnangagwa's victory in the July 30 election. Mnangagwa, 75, took… https://t.co/vmlegTTbKw",@CNNbrk
-0.2023,Fri Aug 24 16:31:22 +0000 2018,0.096,0.904,0.0,RT @CNNPolitics: Former Director of the CDC Tom Frieden has been charged with forcibly touching a woman https://t.co/drCwNv1Woo https://t.c…,@CNNbrk
0.7506,Fri Aug 24 16:25:43 +0000 2018,0.0,0.697,0.303,"""Lifestyles of the Rich and Famous"" host Robin Leach, who regaled audiences with talk of ""champagne wishes and cavi… https://t.co/5ic2YAILL0",@CNNbrk
-0.8481,Fri Aug 24 15:12:03 +0000 2018,0.351,0.649,0.0,"Sen. John McCain has chosen to stop receiving medical treatment in his battle with brain cancer, his family says… https://t.co/iEeUOLUwtr",@CNNbrk
0.4215,Fri Aug 24 13:45:47 +0000 2018,0.0,0.84,0.16,"RT @CNNMoney: Markets open modestly higher as investors await Fed chairman’s speech from Jackson Hole, Wyoming. Dow gains 80 points; S&amp;P 50…",@CNNbrk
0.0,Fri Aug 24 13:43:47 +0000 2018,0.0,1.0,0.0,Hurricane Lane is drenching parts of Hawaii with life-threatening amounts of rain as it crawls toward the state. Fo… https://t.co/GnqmfZH1YP,@CNNbrk
-0.705,Fri Aug 24 13:04:04 +0000 2018,0.268,0.732,0.0,A controversial plan to close all but two polling places in a majority-black Georgia county is rejected in a meetin… https://t.co/XcdbH3rNNY,@CNNbrk
-0.6705,Fri Aug 24 10:49:47 +0000 2018,0.231,0.769,0.0,"Saudi-led coalition airstrikes killed 30 people, including 22 children, in a rebel-held area in northwestern Yemen,… https://t.co/7yqzypOlwX",@CNNbrk
0.0,Fri Aug 24 03:17:46 +0000 2018,0.0,1.0,0.0,Scott Morrison set to become Australia's 30th prime minister following a leadership vote that ends a week of chaos… https://t.co/KEPGiqgRjW,@CNNbrk
0.0,Fri Aug 24 01:18:02 +0000 2018,0.0,1.0,0.0,Hurricane Lane has been downgraded to a Category 3 storm after heavy rain swept across parts of Hawaii's Big Island… https://t.co/dCx69qdLVP,@CNNbrk
-0.1531,Thu Aug 23 23:06:54 +0000 2018,0.175,0.68,0.146,"Lynyrd Skynyrd guitarist Ed King, who co-wrote the hit ""Sweet Home Alabama,"" has died https://t.co/cKJ6wulCUv https://t.co/npJk9SCDTH",@CNNbrk
-0.5574,Thu Aug 23 20:27:11 +0000 2018,0.167,0.833,0.0,A preliminary report from the autopsy on Mollie Tibbetts' body found that she died from multiple sharp force injuri… https://t.co/sBMtlbGHYd,@CNNbrk
-0.5106,Thu Aug 23 20:26:30 +0000 2018,0.177,0.823,0.0,RT @CNNMoney: Markets edge lower. Dow falls 77 points. S&amp;P 500 dips 0.2%. Victoria's Secret owner L Brands sinks 11% after slashing outlook…,@CNNbrk
